groupId,name,abbreviation,isSupplemental,publishedOn,modifiedOn,categoryId
23353,SV: Paldean Fates,PAF,FALSE,2024-01-26T00:00:00,2025-12-04T12:40:18.457,3
23323,Trading Card Game Classic,CL,FALSE,2023-11-17T00:00:00,2025-12-01T22:09:48.58,3
23286,SV04: Paradox Rift,PAR,FALSE,2023-11-03T00:00:00,2025-12-08T18:39:11.527,3
23330,My First Battle,,FALSE,2023-09-29T00:00:00,2025-10-08T18:54:49.893,3
23237,SV: Scarlet & Violet 151,MEW,FALSE,2023-09-22T00:00:00,2025-12-08T17:35:08.983,3
23306,McDonald's Promos 2023,M23,FALSE,2023-09-12T00:00:00,2025-11-21T18:36:11.52,3
23266,Trick or Trade BOOster Bundle 2023,TTBB23,FALSE,2023-09-01T00:00:00,2025-11-22T02:43:31.217,3
23228,SV03: Obsidian Flames,OBF,FALSE,2023-08-11T00:00:00,2025-12-05T18:12:20.23,3
23120,SV02: Paldea Evolved,PAL,FALSE,2023-06-09T00:00:00,2025-12-05T17:04:40.497,3
22872,SV: Scarlet & Violet Promo Cards,SVP,FALSE,2023-03-31T00:00:00,2025-12-05T16:20:40.617,3
22873,SV01: Scarlet & Violet Base Set,SVI,FALSE,2023-03-31T00:00:00,2025-12-05T16:54:54.287,3
24382,SVE: Scarlet & Violet Energies,SVE,FALSE,2023-03-31T00:00:00,2025-12-05T17:21:06.103,3
17688,Crown Zenith,CRZ,FALSE,2023-01-20T00:00:00,2025-11-29T06:35:15.04,3
17689,Crown Zenith: Galarian Gallery,CRZ:GG,FALSE,2023-01-20T00:00:00,2025-12-04T13:51:40.553,3
22880,Prize Pack Series Cards,,FALSE,2022-11-30T00:00:00,2025-12-02T01:19:52.203,3
3170,SWSH12: Silver Tempest,SWSH12,FALSE,2022-11-11T00:00:00,2025-12-05T18:16:32.237,3
17674,SWSH12: Silver Tempest Trainer Gallery,SWSH12: TG,FALSE,2022-11-11T00:00:00,2025-12-04T15:03:36.34,3
3118,SWSH11: Lost Origin,SWSH11,FALSE,2022-09-09T00:00:00,2025-12-04T15:05:17.027,3
3172,SWSH11: Lost Origin Trainer Gallery,SWSH11: TG,FALSE,2022-09-09T00:00:00,2025-12-04T15:08:13.077,3
3179,Trick or Trade BOOster Bundle,TTBB,FALSE,2022-09-01T00:00:00,2025-11-22T02:44:51.24,3
